Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size
0,5,69,10,70.1,7
1,5,80,1,66.7,1
2,6,89,9,67.8,7
3,3,81,9,52.4,6
4,6,58,8,22.9,7
5,6,58,6,37.4,3
6,4,51,2,51.6,3
7,8,73,5,37.4,4
8,1,39,1,56.9,7
9,2,84,5,64.5,2
10,0,74,6,58.3,1
11,5,49,6,68.6,6
12,2,45,2,33.9,8
13,7,49,4,49.7,4
14,1,66,6,66.2,5
15,1,57,10,70.1,7
16,1,66,10,32.9,6
17,6,47,3,55.2,6
18,5,53,1,19.8,7
19,5,77,3,66.9,5
20,7,66,6,64.1,3
21,4,87,7,36.1,6
22,0,47,1,71.3,4
23,0,76,3,59.5,7
24,7,60,4,68.2,4
25,6,86,7,29.9,1
26,2,69,9,62.2,1
27,7,67,5,24.8,3
28,7,78,6,67.3,7
29,6,43,3,46.0,8
30,3,39,10,29.4,7
31,6,66,7,40.7,8
32,5,61,4,32.2,3
33,7,58,2,62.1,4
34,3,67,6,39.5,4
35,1,87,10,54.5,1
36,0,47,8,31.2,1
37,0,84,4,36.5,3
38,8,61,9,34.1,7
39,5,73,3,57.8,2
40,3,71,1,61.0,5
41,8,69,1,32.4,7
42,5,85,1,41.7,1
43,7,72,8,18.9,6
44,2,87,2,56.8,4
45,4,69,4,33.2,1
46,7,73,3,48.2,3
47,4,72,4,35.5,4
48,7,70,6,37.9,4
49,1,53,5,40.3,5
50,2,74,5,35.6,4
51,5,76,4,68.8,4
52,2,88,6,26.8,6
53,7,65,9,17.2,8
54,0,88,1,69.8,6
55,8,58,3,42.5,7
56,2,59,6,60.0,4
57,6,77,9,18.8,5
58,1,83,9,58.3,6
59,6,50,7,29.8,4
60,0,49,10,48.9,6
61,1,54,4,19.0,7
62,6,89,9,42.9,2
63,2,48,1,66.6,5
64,7,39,6,62.8,4
65,2,41,3,64.7,8
66,8,60,9,19.8,1
67,4,63,9,65.3,3
68,2,56,4,69.4,5
69,6,57,2,53.6,1
70,4,70,4,40.7,3
71,8,52,10,20.9,6
72,7,38,2,55.4,5
73,5,64,9,17.8,1
74,0,87,2,52.1,2
75,7,55,6,34.8,2
76,5,38,3,62.9,5
77,3,86,6,44.9,5
78,5,47,6,52.3,8
79,7,70,3,72.2,4
80,6,47,4,22.0,8
81,2,49,8,46.1,3
82,1,88,10,37.8,7
83,8,68,10,65.3,8
84,4,38,5,27.9,2
85,8,81,3,17.1,3
86,3,50,8,51.2,4
87,2,85,6,49.5,7
