Player_Name,Position_ID,Shots,Makes,Personal_Points,Total_Points,Assists,Concessions,Blocks,Block_Assists,Fouls,Years_Pro,Career_Shots,Career_Makes,Career_PP,Career_TP,Career_Assists,Career_Con,Team_Value
Andrew  Graham,5,627,177,25,98,81,70,240,482,13,6,3210,927,133,529,472,313,Superstar
Fred  Walton,1,388,103,15,59,47,39,182,9,4,6,2174,555,80,285,274,186,Contributor
Ignacio  Barber,4,526,163,12,88,50,77,250,11,1,4,1556,470,38,245,167,174,Franchise Player
Jackie  Ortiz,5,298,73,0,24,24,7,121,283,9,3,509,108,0,41,37,12,Role Player
Cecil  Bowen,11,589,170,40,107,108,69,368,20,3,6,2325,634,128,371,376,238,Superstar
Lance  Webster,4,278,86,4,33,38,45,102,4,2,1,278,86,4,33,38,45,Role Player
Kristopher  Andrews,4,600,144,33,85,117,65,319,4,14,2,696,173,38,101,130,69,Role Player
Danny  Wilson,3,521,142,20,67,86,45,107,242,23,4,815,205,22,99,103,78,Role Player
Randolph  Malone,0,143,39,5,18,30,15,138,15,1,9,639,151,16,80,97,61,Role Player
Brent  Burns,2,550,152,6,92,37,81,262,329,16,5,2308,633,32,349,182,308,Franchise Player
Noel  Castillo,7,155,41,12,21,29,22,165,9,1,16,5409,1338,181,746,805,875,Contributor
Ricky  Paul,1,205,43,2,24,17,20,131,6,1,7,854,219,12,105,99,71,Contributor
Milton  Wise,5,407,93,8,47,30,30,172,317,25,2,969,230,14,121,69,68,Role Player
Oscar  Swanson,1,404,92,11,54,49,18,222,5,5,6,1354,325,30,188,135,63,Contributor
Chris  Stanley,5,220,54,10,30,39,31,50,136,20,5,1185,299,40,145,154,128,Contributor
Clark  Carr,1,275,68,5,42,42,61,181,3,2,6,961,238,16,128,104,172,Contributor
Mack  Perkins,10,426,109,3,55,43,62,361,22,2,1,426,109,3,55,43,62,Role Player
Jimmy  Warren,7,220,66,5,20,28,13,281,21,3,3,290,80,5,27,31,15,Role Player
Timothy  Burns,1,288,76,7,34,37,15,203,3,3,4,1644,408,16,198,120,113,Contributor
Aaron  Newton,9,311,81,3,42,30,26,153,223,10,17,8247,2198,100,950,909,690,Contributor
Kim  Holloway,6,587,163,4,92,51,70,434,9,3,6,2695,747,17,442,198,317,Superstar
Adrian  Maxwell,11,491,141,11,77,47,37,239,8,2,15,4291,1240,84,615,430,340,Franchise Player
Duane  Roy,5,574,159,21,107,75,59,238,445,22,10,4631,1300,90,702,504,488,Franchise Player
Mike  Richards,1,490,150,21,69,58,35,96,5,3,14,6126,1839,121,983,707,600,Superstar
Enrique  Ward,6,299,75,6,38,23,26,212,1,2,3,580,160,8,71,33,44,Role Player
Kurt  Lowe,7,528,132,21,61,74,41,885,105,8,6,2641,671,97,273,383,226,Superstar
Santiago  Little,7,315,81,7,24,38,39,632,43,10,14,3449,835,69,321,414,375,Franchise Player
Marcus  Robertson,2,627,178,14,68,76,46,309,492,5,6,3146,902,74,494,345,242,Franchise Player
Ralph  Pearson,11,196,43,7,29,27,30,80,45,8,13,3231,825,36,376,290,238,Contributor
Scott  Hampton,3,313,83,9,43,41,30,58,141,23,14,5885,1543,104,751,714,535,Franchise Player
Darrin  Benson,10,209,56,12,22,36,19,201,6,3,2,216,58,12,24,37,19,Role Player
Robin  Mccarthy,9,217,46,7,32,19,9,307,25,1,4,694,160,32,86,76,32,Role Player
Greg  Rowe,7,281,76,3,42,25,20,106,144,7,8,2658,657,48,324,300,179,Contributor
Alvin  Norman,7,315,73,5,23,37,16,227,15,3,4,450,108,6,38,46,28,Role Player
Terry  Payne,6,589,149,21,89,86,64,371,6,6,7,3558,928,102,513,471,351,Superstar
Keith  Poole,6,608,160,28,130,74,89,426,4,6,8,4071,1182,103,862,417,708,Superstar
Spencer  Wong,11,418,113,13,48,61,47,211,11,7,4,1512,392,41,205,204,203,Franchise Player
Jake  Smith,5,160,39,8,18,31,22,33,3,0,14,2128,543,56,304,268,298,Contributor
Raymond  Maldonado,3,263,70,1,26,23,30,81,147,4,4,888,220,9,83,82,86,Contributor
Erik  Flores,4,357,96,7,50,45,39,167,2,4,5,1394,344,43,178,192,136,Contributor
Evan  Simpson,8,327,85,3,30,44,20,91,185,12,8,2140,568,16,216,208,93,Contributor
Christian  Rivera,11,584,158,15,70,84,42,331,20,4,5,2358,636,58,265,316,134,Franchise Player
Abraham  Shaw,2,387,124,1,67,27,36,186,290,17,7,1775,506,6,272,125,194,Franchise Player
Carroll  Gardner,4,600,139,0,94,29,60,300,12,9,2,1236,309,1,201,69,110,Role Player
Marco  Rodriquez,2,288,63,3,25,33,16,135,257,7,10,2682,667,38,315,259,204,Contributor
Willie  Barber,3,504,120,28,71,71,54,103,283,19,3,1085,259,54,150,167,114,Role Player
Eric  Crawford,7,510,147,10,56,52,53,810,99,18,7,2872,821,63,307,340,174,Superstar
Brad  Bailey,3,583,168,17,83,80,56,109,292,25,5,1646,452,44,219,208,136,Franchise Player
Andrew  Hawkins,4,415,115,27,97,71,68,274,2,7,3,711,184,45,156,119,99,Contributor
Lyle  Huff,7,268,60,5,24,25,15,442,59,6,2,350,78,5,34,29,18,Role Player
Theodore  Bush,3,475,126,3,61,43,52,37,113,7,6,1700,433,7,217,93,146,Contributor
Terrell  Steele,5,514,144,0,67,54,79,229,453,15,9,4739,1169,13,583,374,528,Superstar
Jessie  Flowers,3,20,1,0,0,0,0,78,220,6,2,41,9,2,6,7,4,Superstar
Homer  Murphy,4,280,82,16,44,45,47,148,4,2,2,428,113,25,61,70,63,Role Player
Aubrey  Holmes,6,399,102,3,56,34,34,211,9,3,5,670,167,4,89,48,54,Role Player
Sergio  Hernandez,1,283,70,8,33,37,27,156,2,2,12,4479,1222,94,557,483,307,Contributor
Ian  Mendoza,3,568,158,20,89,75,73,105,290,10,15,8068,2273,177,1045,993,732,Superstar
Toby  Webb,2,453,103,8,53,33,52,289,407,6,2,507,123,8,63,39,58,Role Player
Jorge  Sutton,2,441,113,5,76,52,76,160,290,11,5,1546,397,17,226,149,191,Contributor
Samuel  Bates,6,324,73,4,32,18,22,222,3,3,7,1931,491,13,291,108,180,Franchise Player
Arthur  Martin,2,497,136,7,58,38,26,304,347,10,11,3871,1066,40,450,367,241,Superstar
Luke  Christensen,2,492,136,5,76,50,94,313,381,20,12,5511,1511,39,897,451,875,Superstar
Dana  Summers,10,244,58,9,28,25,35,142,14,2,4,1335,333,49,164,179,194,Contributor
Juan  Carter,5,323,81,6,26,32,8,143,290,19,2,341,86,6,32,34,8,Role Player
